word,transcription,vowel_stress,original_transcription
А,a,a,a
Андора,an'd̪ɔɾə,and̪'ɔɾə,anˈd̪ɔɾə
Анкара,'aŋkəɾə,'aŋkəɾə,ˈaŋkəɾə
Афганистан,ɐfɡəni'st̪an,ɐfɡənist̪'an,ˌafɡəniˈst̪an
Балкан,bɐɫkan,bɐɫkan,bɐɫkan
Бахрейн,bax'rɛjn,baxr'ɛjn,baxˈrɛjn
България,bəl'ɡarija,bəlɡ'arija,bəlˈɡarija
Ваш,vaʃ,vaʃ,vaʃ
Ваша,'vaʃə,v'aʃə,ˈvaʃə
Ваше,'vaʃɛ,v'aʃɛ,ˈvaʃɛ
Ваште,'vaʃt̪ɛ,v'aʃt̪ɛ,ˈvaʃt̪ɛ
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
Виетнамска война,viɛt'namskə vɔj'na,viɛtn'amskə vɔjna,viɛtˈnamskə vɔjˈna
